SF,Pattern,query_number,Run,visual_name,p50
100,DL_Mirror,9,3,Catalog Sales Quantity YoY,4795.142412185669
100,DL_Mirror,10,1,Store Profit % Split by Category,2813.8957023620605
100,DL_Mirror,10,2,Store Profit % Split by Category,4280.3332805633545
100,DL_Mirror,10,3,Store Profit % Split by Category,5970.345497131348
100,DL_Mirror,11,1,Slicer,49.706220626831055
100,DL_Mirror,11,2,Slicer,88.52791786193848
100,DL_Mirror,11,3,Slicer,133.8043212890625
100,DL_Mirror,12,1,Catalog Revenue Ranked by Promotion,915.341854095459
100,DL_Mirror,12,2,Catalog Revenue Ranked by Promotion,1068.817377090454
100,DL_Mirror,12,3,Catalog Revenue Ranked by Promotion,1420.976161956787
100,DL_Mirror,13,1,Card,637.4742984771729
100,DL_Mirror,13,2,Card,1198.8801956176758
100,DL_Mirror,13,3,Card,1364.2871379852295
100,DL_Mirror,14,1,Store Revenue Time Analysis,5131.716728210449
100,DL_Mirror,14,2,Store Revenue Time Analysis,6109.263181686401
100,DL_Mirror,14,3,Store Revenue Time Analysis,6887.828350067139
100,DL_Mirror,15,1,Slicer,119.23933029174805
100,DL_Mirror,15,2,Slicer,279.27541732788086
100,DL_Mirror,15,3,Slicer,276.0961055755615
100,DL_Mirror,16,1,Slicer,49.09539222717285
100,DL_Mirror,16,2,Slicer,62.935590744018555
100,DL_Mirror,16,3,Slicer,57.8305721282959
100,DL_Mirror,17,1,Slicer,47.52302169799805
100,DL_Mirror,17,2,Slicer,57.47795104980469
100,DL_Mirror,17,3,Slicer,62.78562545776367
100,DL_Mirror,18,1,Slicer,65.06133079528809
100,DL_Mirror,18,2,Slicer,161.1952781677246
100,DL_Mirror,18,3,Slicer,172.23143577575684
100,DL_Mirror,19,1,Catalog Sales Quantity YoY,2997.696876525879
100,DL_Mirror,19,2,Catalog Sales Quantity YoY,4726.235866546631
100,DL_Mirror,19,3,Catalog Sales Quantity YoY,7454.876661300659
100,DL_Mirror,20,1,Store Profit % Split by Category,476.0324954986572
100,DL_Mirror,20,2,Store Profit % Split by Category,446.52366638183594
100,DL_Mirror,20,3,Store Profit % Split by Category,2266.8075561523438
100,DL_Mirror,21,1,Slicer,45.679330825805664
100,DL_Mirror,21,2,Slicer,50.00114440917969
100,DL_Mirror,21,3,Slicer,74.77617263793945
100,DL_Mirror,22,1,Catalog Revenue Ranked by Promotion,342.8468704223633
100,DL_Mirror,22,2,Catalog Revenue Ranked by Promotion,499.56250190734863
100,DL_Mirror,22,3,Catalog Revenue Ranked by Promotion,538.2406711578369
100,DL_Mirror,23,1,Card,401.29756927490234
100,DL_Mirror,23,2,Card,760.3051662445068
100,DL_Mirror,23,3,Card,637.0964050292969
100,DL_Mirror,24,1,Store Revenue Time Analysis,5175.391912460327
100,DL_Mirror,24,2,Store Revenue Time Analysis,7249.539136886597
100,DL_Mirror,24,3,Store Revenue Time Analysis,6740.827560424805
100,Direct_Query,1,1,Catalog Sales Quantity YoY,49832.97634124756
100,Direct_Query,1,2,Catalog Sales Quantity YoY,13882.928848266602
100,Direct_Query,1,3,Catalog Sales Quantity YoY,4579.856157302856
100,Direct_Query,2,1,Store Profit % Split by Category,3163.7916564941406
100,Direct_Query,2,2,Store Profit % Split by Category,3104.2449474334717
100,Direct_Query,2,3,Store Profit % Split by Category,1834.3470096588135
100,Direct_Query,3,1,Slicer,42.52815246582031
